date;T1A1;T1A2;T1A3;T1A4
2021-06-19 16:40:15;2560.605957;3174.24292;439.394012;17386.36328
2021-06-19 16:56:22;2553.030029;3174.24292;446.970001;17378.78711
2021-06-19 17:12:25;2568.181885;3166.666992;439.394012;17386.36328
2021-06-19 17:28:30;2568.181885;3174.24292;446.970001;17371.21289
2021-06-19 17:44:33;2568.181885;3174.24292;446.970001;17386.36328
2021-06-19 18:00:42;2575.758057;3174.24292;439.394012;17371.21289
2021-06-19 18:16:48;2606.061035;3174.24292;454.545013;17371.21289
2021-06-19 18:32:51;2606.061035;3174.24292;446.970001;17371.21289
2021-06-19 18:48:56;2613.635986;3174.24292;469.696991;17371.21289
2021-06-19 19:05:02;2636.364014;3174.24292;484.847992;17386.36328
2021-06-19 19:21:06;2666.666992;3174.24292;507.575989;17386.36328
2021-06-19 19:37:11;2696.969971;3174.24292;522.72699;17386.36328
2021-06-19 19:53:15;2727.272949;3196.969971;537.879028;17386.36328
2021-06-19 20:09:22;2734.849121;3204.545898;553.030029;17393.93945
2021-06-19 20:25:27;2750;3212.121094;568.182007;17393.93945
2021-06-19 20:41:32;2765.150879;3234.849121;590.908997;17393.93945
2021-06-19 20:57:36;2780.302979;3234.849121;598.484985;17409.08984
2021-06-19 21:13:45;2795.455078;3234.849121;613.635986;17409.08984
2021-06-19 21:29:51;2803.030029;3242.424072;621.211975;17416.66602
2021-06-19 21:45:57;2810.605957;3234.849121;621.211975;17416.66602
2021-06-19 22:02:02;2803.030029;3242.424072;628.788025;17416.66602
2021-06-19 22:18:10;2803.030029;3234.849121;621.211975;17416.66602
2021-06-19 22:34:15;2803.030029;3234.849121;621.211975;17424.24219
2021-06-19 22:50:20;2795.455078;3242.424072;621.211975;17431.81836
2021-06-19 23:06:26;2795.455078;3234.849121;621.211975;17431.81836
2021-06-19 23:22:34;2803.030029;3234.849121;628.788025;17439.39453
2021-06-19 23:38:39;2795.455078;3242.424072;621.211975;17446.96875
2021-06-19 23:54:45;2795.455078;3242.424072;621.211975;17446.96875
2021-06-20 00:10:49;2795.455078;3242.424072;628.788025;17446.96875
